FID,feature_id,alt,ascendingI,BtmWdth,ChSlp,from_,gages,Kchan,lat,Length,link,lon,MusK,MusX,n,nCC,NHDWaterbo,order_,Qi,So,to,TopWdth,TopWdthCC
1906795,1906796,201.5,1337325,1.69073,0.738878,0,NaN,0,36.0395,368,8780833,-79.1976,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780631,2.81789,8.45367
1906794,1906795,153.15,1306322,0.615772,1.15371,0,NaN,0,36.0213,154,8780831,-79.0366,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780661,1.02629,3.07886
1906793,1906794,199.91,1302536,0.918477,0.967137,0,NaN,0,36.0388,196,8780829,-79.1454,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780637,1.53079,4.59238
1906792,1906793,193.36,1265771,1.464,0.787339,0,NaN,0,36.04,171,8780827,-79.1403,3600,0.2,0.06,0.12,-9999,1,0,0.001,8780633,2.44,7.32
1906791,1906792,178.34,1265770,1.42675,0.796342,0,NaN,0,36.0521,181,8780825,-79.0713,3600,0.2,0.06,0.12,-9999,1,0,0.008,8780653,2.37792,7.13376
1906790,1906791,128.07,1265769,1.16397,0.87117,0,NaN,0,36.047,227,8780823,-79.0074,3600,0.2,0.06,0.12,-9999,1,0,0.022,8780613,1.93995,5.81984
1906789,1906790,191.78,1232797,0.848022,1.0018,0,NaN,0,36.0897,179,8780821,-79.1732,3600,0.2,0.06,0.12,-9999,1,0,0.066,8780545,1.41337,4.24011
1906788,1906789,183,1232796,1.4572,0.788958,0,NaN,0,36.0848,179,8780819,-79.1192,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780573,2.42867,7.286
1906787,1906788,204.53,1232795,0.732569,1.06861,0,NaN,0,36.1016,170,8780817,-79.1767,3600,0.2,0.06,0.12,-9999,1,0,0.001,8780529,1.22095,3.66285
1906786,1906787,183.29,1265768,1.47241,0.78535,0,NaN,0,36.1018,326,8780815,-79.1307,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780525,2.45402,7.36207
1906785,1906786,173.11,1232794,1.03702,0.916705,0,NaN,0,36.1085,210,8780813,-79.0822,3600,0.2,0.06,0.12,-9999,1,0,0.036,8780495,1.72837,5.1851
1906784,1906785,197.41,1291336,1.15481,0.874211,0,NaN,0,36.1358,170,8780811,-79.1104,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780465,1.92468,5.77404
1906783,1906784,168.4,1232793,1.03086,0.919117,0,NaN,0,36.1381,238,8780809,-79.0219,3600,0.2,0.06,0.12,-9999,1,0,0.001,8780453,1.7181,5.1543
1906782,1906783,198.64,1281869,1.1197,0.8862,0,NaN,0,36.1559,400,8780807,-79.1333,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780437,1.86617,5.59851
1906781,1906782,209.8,1297784,0.999872,0.931577,0,NaN,0,36.1842,149,8780805,-79.1764,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780399,1.66645,4.99936
1906780,1906781,210.96,1232792,0.600992,1.16614,0,NaN,0,36.1868,167,8780803,-79.1353,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780407,1.00165,3.00496
1906779,1906780,214.79,1232791,0.760709,1.05099,0,NaN,0,36.2016,191,8780801,-79.1815,3600,0.2,0.06,0.12,-9999,1,0,0.005,8780363,1.26785,3.80355
1906778,1906779,195.45,1232790,1.0668,0.905324,0,NaN,0,36.1951,242,8780799,-79.119,3600,0.2,0.06,0.12,-9999,1,0,0.002,8780373,1.77801,5.33402
1906777,1906778,192.91,1281868,1.25481,0.842761,0,NaN,0,36.199,239,8780797,-79.115,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780367,2.09135,6.27404
1906776,1906777,219.72,1232789,0.86327,0.993951,0,NaN,0,36.2139,174,8780795,-79.181,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780359,1.43878,4.31635
1906775,1906776,205.99,1232788,1.19796,0.860178,0,NaN,0,36.2078,179,8780793,-79.1339,3600,0.2,0.06,0.12,-9999,1,0,0.047,8780353,1.99659,5.98978
1906774,1906775,197.31,1291335,0.67705,1.10642,0,NaN,0,36.209,167,8780791,-79.079,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780375,1.12842,3.38525
1906773,1906774,212.44,1281867,1.00826,0.928152,0,NaN,0,36.2204,165,8780789,-79.125,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780351,1.68043,5.04128
1906772,1906773,179.38,1232787,1.65194,0.746485,0,NaN,0,36.2189,204,8780787,-79.0257,3600,0.2,0.06,0.12,-9999,1,0,0.009,8780717,2.75323,8.25969
1906771,1906772,169.53,1232786,1.464,0.787339,0,NaN,0,36.2593,152,8780785,-79.05,3600,0.2,0.06,0.12,-9999,1,0,0.001,8780331,2.44,7.32
1906770,1906771,210.23,1265767,0.526874,1.23586,0,NaN,0,36.2694,149,8780783,-79.1117,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780305,0.878123,2.63437
1906769,1906770,204.52,1232785,0.566287,1.19715,0,NaN,0,36.2641,129,8780781,-79.0527,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780319,0.943811,2.83143
1906768,1906769,172.65,1265766,1.15125,0.875403,0,NaN,0,36.2605,288,8780779,-79.0299,3600,0.2,0.06,0.12,-9999,1,0,0.002,8780323,1.91875,5.75624
1906767,1906768,190.41,1265765,1.2333,0.849213,0,NaN,0,36.2698,250,8780777,-79.0509,3600,0.2,0.06,0.12,-9999,1,0,0.002,8780301,2.0555,6.16651
1906766,1906767,201.04,1232784,0.688859,1.09801,0,NaN,0,36.278,139,8780775,-79.0777,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780291,1.1481,3.4443
1906765,1906766,192.23,1232783,1.14838,0.876366,0,NaN,0,36.3026,138,8780773,-79.0817,3600,0.2,0.06,0.12,-9999,1,0,0.002,8780259,1.91397,5.74192
1906764,1906765,177.75,1232782,1.464,0.787339,0,NaN,0,36.304,161,8780771,-79.0575,3600,0.2,0.06,0.12,-9999,1,0,0.001,8780267,2.44,7.32
1906763,1906764,203.43,1265764,0.548778,1.21385,0,NaN,0,36.3188,168,8780769,-79.0511,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780253,0.91463,2.74389
1906762,1906763,193.05,1281866,0.696519,1.09267,0,NaN,0,36.3502,186,8780767,-79.0203,3600,0.2,0.06,0.12,-9999,1,0,1.00E-05,8780239,1.16087,3.4826
1985142,1985143,126.59,1590300,4.28746,0.490098,8780619,NaN,0,36.048,404,8780765,-79.0149,3600,0.2,0.06,0.12,-9999,2,0,0.002,8780607,7.14577,21.4373
1962701,1962702,170.04,795409,1.36944,0.810876,8780761,NaN,0,36.0804,152,8780763,-79.1367,3600,0.2,0.06,0.12,-9999,1,0,2.00E-02,8780557,2.2824,6.84721
1943228,1943229,170.04,789394,1.31648,0.82511,8780555,NaN,0,36.0808,12,8780761,-79.1359,3600,0.2,0.06,0.12,-9999,1,0,0.001,8780763,2.19413,6.5824
2003197,2003198,163.42,2174434,7.17996,0.390386,8780757,NaN,0,36.0856,395,8780759,-79.1428,3600,0.2,0.055,0.11,-9999,3,0,0.006,8780553,11.9666,35.8998
1980233,1980234,166.51,799784,3.76291,0.519143,8780537,NaN,0,36.0874,433,8780757,-79.1464,3600,0.2,0.06,0.12,-9999,2,0,0.007,8780759,6.27152,18.8146
2002114,2002115,164.3,1234519,6.78885,0.400153,8780753,NaN,0,36.0906,860,8780755,-79.1445,3600,0.2,0.055,0.11,-9999,3,0,0.001,8780759,11.3147,33.9442
2000898,2000899,164.7,1297915,6.70473,0.40236,8780517,NaN,0,36.0963,814,8780753,-79.1456,3600,0.2,0.055,0.11,-9999,3,0,1.00E-05,8780755,11.1746,33.5237
1962700,1962701,164.97,795408,2.06369,0.676675,8780525,NaN,0,36.094,91,8780751,-79.1424,3600,0.2,0.06,0.12,-9999,1,0,0.007,8780755,3.43949,10.3185
1980232,1980233,186.53,877174,4.28652,0.490145,8780747,NaN,0,36.1493,718,8780749,-79.1498,3600,0.2,0.055,0.11,-9999,3,0,0.004,8780445,7.14419,21.4326
1962699,1962700,186.58,795407,2.66902,0.604085,8780743,NaN,0,36.1548,599,8780747,-79.1484,3600,0.2,0.06,0.12,-9999,2,0,1.00E-05,8780749,4.44836,13.3451
1973305,1973306,187.63,1587380,3.84915,0.513979,8780739,NaN,0,36.1538,825,8780745,-79.1452,3600,0.2,0.06,0.12,-9999,2,0,0.001,8780749,6.41525,19.2457
